MLService,Model,Version,GCC,LCC,PayrollService,System,Client,ABKRS,PERNR,Employee_Status,Employee_Type,Job_Code,WT_401KBT%,WT_401MTCH,WT_DEN,WT_Federal Withholding [USA] ,WT_GTL,WT_Gross_Pay,WT_HLTSAG,WT_HLTSAV,WT_LTD,WT_MED,WT_NEC,WT_Net_Pay,WT_REG,WT_SUI (ER) [USA],WT_State Withholding (Work) [USA],WT_Total_Deductions,WT_Total_EE_Taxes,WT_Total_ER_Taxes,WT_VIS
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3023,Active,Regular,101961,0.0,194.17,29.73,479.85,21.05,4854.17,850,35.42,14.66,85.61,121.35,2910.88,4854.17,95.04,206.65,895.58,1047.71,456.25,2.79
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1887,Active,Regular,111662,139.57,139.56,13.86,510.04,5.9,3489.07,1200,50.0,9.63,17.5,87.23,2231.65,3489.07,27.65,151.0,335.24,922.18,289.83,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3766,Terminated,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3692,Active,Regular,111583,591.25,215.0,93.52,374.31,10.4,5375.0,7000,291.67,0.0,287.63,134.38,3135.45,5375.0,38.08,196.0,1309.55,930.0,397.77,10.78
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5059,Active,Regular,102483,0.0,0.0,0.0,175.0,9.75,3736.8,3000,125.0,11.29,31.5,93.42,2812.95,3736.8,0.0,0.0,474.31,449.54,274.54,1.24
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5502,On Leave,Regular,111757,0.0,0.0,0.0,0.0,2.52,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.27,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4259,Active,Regular,102633,204.75,117.0,0.0,359.69,4.1,2925.0,0,0.0,5.24,0.0,73.13,1678.33,2925.0,23.73,122.0,540.9,705.77,254.66,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4887,Active,Regular,101421,350.29,100.09,29.41,214.5,8.17,2502.05,3550,147.92,7.56,34.58,62.55,1507.2,2502.05,7.98,0.0,605.86,388.99,196.16,17.35
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2831,Active,Regular,110810,0.0,120.0,25.45,226.33,31.02,3000.0,1500,62.5,15.81,17.5,75.0,1587.77,3000.0,85.5,123.97,838.3,573.93,316.05,2.36
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3580,Active,Regular,101943,0.0,211.67,8.26,545.4,15.3,5291.67,3000,125.0,15.98,627.24,132.3,2190.78,5291.67,0.0,166.77,2041.18,1059.71,347.54,3.37
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4297,Active,Regular,102492,0.0,30.0,18.72,288.28,5.36,3516.67,0,0.0,0.0,77.46,87.92,2671.11,3516.67,65.39,167.0,128.37,717.19,327.3,2.19
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2541,Active,Regular,101411,0.0,25.0,91.6,306.07,4.68,3206.67,0,0.0,4.3,763.03,80.17,1757.11,3206.67,60.82,0.0,963.78,485.78,254.34,7.54
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4695,Active,Regular,102609,215.16,122.95,5.12,226.82,4.9,3073.71,1500,62.5,8.48,72.33,76.84,2042.82,3073.71,23.64,115.0,465.89,565.0,253.81,21.17
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,6147,Terminated,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5958,Active,0,0,65.06,43.37,0.0,0.0,5.75,2168.4,0,0.0,0.0,0.0,54.21,1922.67,1375.0,58.67,0.0,79.49,166.24,225.61,1.21
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1404,Active,Regular,111853,382.09,218.33,0.0,893.16,10.6,5458.34,0,0.0,15.07,0.0,136.46,3512.61,5458.34,0.0,164.31,413.93,1531.8,418.37,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2017,Active,0,0,0.0,0.0,35.02,0.0,3.1,1463.8,3000,125.0,6.4,130.19,36.59,1023.01,928.2,9.43,33.0,318.68,122.11,105.53,11.91
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5919,Active,Regular,111879,84.38,56.25,0.0,350.99,2.13,2812.5,0,0.0,0.0,0.0,70.31,2018.46,2812.5,19.65,88.19,84.38,709.66,243.2,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,197,Active,Regular,101421,0.0,0.0,5.55,132.57,3.06,2454.8,500,20.84,4.39,17.5,61.37,1974.76,2454.8,19.49,105.0,58.35,421.69,216.73,7.27
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1034,Active,Regular,101975,0.0,141.61,34.65,403.06,25.8,3540.29,0,0.0,0.0,379.28,88.51,2033.82,3540.29,4.72,183.15,679.59,826.88,249.64,6.06
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2777,Active,Regular,101421,98.13,61.33,68.22,0.0,3.4,2453.12,0,0.0,0.0,130.19,61.32,1761.84,2453.12,17.67,76.0,448.32,242.96,197.72,13.15
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,6125,On Leave,Regular,111679,0.0,0.0,0.0,0.0,7.5,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.69,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4343,Active,Regular,102596,234.12,133.78,16.44,472.25,8.33,3344.5,0,0.0,10.1,0.0,83.61,2068.26,3344.5,27.02,142.0,406.76,869.48,284.21,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,556,Active,Regular,111661,0.0,0.0,13.79,220.27,2.64,2406.25,150,6.25,1.73,71.27,60.16,1912.66,2406.25,56.85,0.0,96.21,397.38,247.85,2.36
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1894,Active,Regular,101962,324.67,162.33,0.0,673.0,7.25,4058.34,0,0.0,0.0,0.0,101.46,2410.59,4058.34,115.62,179.61,492.73,1155.02,418.03,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4849,Active,Regular,104091,0.0,208.33,51.82,382.6,10.0,5208.34,7100,295.84,14.38,56.0,130.21,2690.49,5208.34,91.12,198.02,1569.08,948.77,459.27,2.19
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,482,Active,Regular,111881,0.0,0.0,5.66,851.19,9.35,4937.5,0,0.0,0.0,28.59,123.43,3675.69,4937.5,0.0,0.0,34.86,1226.95,375.76,0.61
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,4294,Active,Regular,102051,0.0,193.65,54.54,613.54,13.73,4841.33,6000,250.0,0.0,66.84,121.03,2413.87,4841.33,51.94,268.0,1180.08,1247.38,414.11,12.37
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2817,Active,Regular,102483,0.0,113.87,92.01,263.64,6.53,2846.67,7000,291.67,8.6,113.06,71.17,1590.8,2846.67,8.17,0.0,813.74,442.13,200.66,23.25
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,3986,Active,Regular,102599,270.09,154.33,29.1,510.47,6.12,3858.34,0,0.0,6.91,56.0,96.46,2319.06,3858.34,103.73,162.16,595.38,943.9,375.0,15.88
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2968,Active,Regular,103335,186.0,106.29,18.43,291.99,5.85,2657.13,3300,137.5,0.0,31.5,66.42,1656.33,2657.13,102.79,97.02,388.68,612.12,304.03,6.62
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5439,Active,Regular,111758,206.26,91.67,5.19,243.94,1.8,2291.67,0,0.0,0.0,17.5,57.3,1645.06,2291.67,54.13,0.0,228.95,417.66,241.47,0.0
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,2014,Active,Regular,102465,123.34,98.67,0.0,259.38,2.76,2466.67,180,7.5,3.31,17.5,61.67,1695.51,2466.67,33.77,86.72,238.61,532.55,243.52,7.23
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,1853,Active,Regular,111881,535.45,214.18,51.82,475.63,15.6,5354.49,6600,275.0,16.17,73.97,133.87,2799.66,5354.49,82.07,219.37,1479.85,1074.98,462.05,2.19
PAD,A001,1,ALT,TST,WDY,WDT,0,sm,5623,Active,Regular,111818,312.5,0.0,5.43,184.63,7.5,3125.0,2500,104.17,9.44,46.69,0.0,2116.01,3125.0,26.77,83.27,480.59,528.4,261.09,2.36
