WT_401KBT%,WT_401MTCH,WT_DEN,WT_Federal Withholding [USA] ,WT_GTL,WT_Gross_Pay,WT_HLTSAG,WT_HLTSAV,WT_LTD,WT_MED,WT_NEC,WT_Net_Pay,WT_REG,WT_SUI (ER) [USA],WT_State Withholding (Work) [USA],WT_Total_Deductions,WT_Total_EE_Taxes,WT_Total_ER_Taxes,WT_VIS
0.0,0.38933269058604775,0.2536246081504702,0.08759502583180309,0.34287177517444467,0.3893259618589558,0.0,0.0,0.3989598811292719,0.19220698342603998,0.3893449396727453,0.2618832079914009,0.3893259618589558,0.2870386192754613,0.0,0.28299573502022285,0.15328661941363653,0.34525492175668854,0.02609067579127459
0.05442857142857143,0.4372977067695062,0.10530956112852666,0.09435030398751702,0.1417962998527623,0.43730252519826673,0.3703703703703704,0.37037037037037035,0.0,0.029722729395779374,0.4373312765136907,0.3928755141661888,0.43730252519826673,0.014524948735475048,0.0,0.16950539459328404,0.17341026439323792,0.3025996971226653,0.24165953806672372
0.04809714285714286,0.5796088423662282,0.507641065830721,0.16598003862877367,0.04378720952563856,0.5796276248481493,0.8765432098765432,0.8765629629629629,0.18647845468053492,0.1315655386183177,0.5796374855379869,0.46955933353368373,0.5796276248481493,0.05741626794258372,0.0,0.2884840035706807,0.24844635109837013,0.3525239777889954,0.08297690333618477
0.07416857142857143,0.5107430617726052,0.05084247648902822,0.11375507835171214,0.09423212342359645,0.5107610854468474,0.3703703703703704,0.37037037037037035,0.0,0.025363395751065068,0.5107707564321524,0.4127673618089063,0.5107610854468474,0.30681818181818177,0.16731295971440002,0.22312070884625135,0.26675049834021375,0.4339727410398788,0.02951240376390077
0.09178000000000001,0.6320501342882722,0.2021943573667712,0.3098960067743071,0.08213302605466999,0.6320529666327843,0.30864197530864196,0.30865185185185184,0.0,0.05234738793823334,0.6320863864249904,0.5303890424294271,0.6320529666327843,0.35453691045796304,0.31074385252208164,0.1438741886068835,0.4811681984142066,0.5296062594649167,0.09366980325064157
0.0,0.25318504235245504,0.3920454545454546,0.12373576396487257,0.12297548172332118,0.620659686354233,0.8765432098765432,0.8765629629629629,0.3514115898959881,0.1430229431163574,0.6206820560850642,0.5496779950699044,0.620659686354233,0.13760252904989745,0.2815991136552488,0.2142188033811261,0.30218622761512365,0.4246340232205957,0.42857142857142855
0.0,0.0,0.1273510971786834,0.242067305405174,0.0387299148582037,0.49050192688577243,0.0,0.0,0.0,0.20130780009341429,0.49049639138339485,0.43177422596209686,0.49050192688577243,0.40845010252904984,0.24897670267442218,0.08229647670792052,0.37226115048863617,0.4397147905098435,0.05303678357570573
0.0,0.9727291508849252,0.5265478056426333,0.34758760454030807,0.0,0.9727398690433886,0.8765432098765432,0.8765629629629629,0.5282317979197622,0.03963030586103917,0.9727287752740896,0.7191818327639324,0.9727398690433886,0.14853896103896103,0.5320992213707567,0.4340471021280817,0.6414255158276086,0.6874179707218577,0.32249786142001713
0.03194857142857143,0.22002616899662555,0.0,0.06169662140947452,0.008642212406376033,0.2200010467713989,0.0,0.0,0.10921248142644874,0.0,0.21998787945567738,0.2015623646021354,0.2200010467713989,0.1997607655502392,0.0,0.04975258709044623,0.13079358404664385,0.22546693589096414,0.0
0.0,0.677191653467392,0.11784874608150471,0.3165133250240241,0.13693105434991357,0.6771880965563976,0.2469135802469136,0.24693333333333334,0.383605745418524,0.03925523332342576,0.677207867335133,0.4332916039035146,0.6771880965563976,0.33924299384825696,0.2740744160280676,0.368471660476752,0.4969978287326996,0.5870141342756183,0.3455945252352438
0.0,0.7461951656222023,0.05613244514106584,0.35926186693053486,0.1013379425132834,0.7462020103520182,0.4266666666666667,0.42666666666666664,0.4051510648836057,0.07985506630999392,0.7461847832075368,0.5864158721788846,0.7462020103520182,0.05613465481886534,0.36360139106884554,0.2342184727625387,0.5608136793883253,0.5157370015143867,0.02951240376390077
0.0,0.5968252875146339,0.0,0.13290771909460244,0.07585942001152295,0.5968442596984748,0.4382716049382716,0.43828148148148144,0.0,0.01238447058157474,0.5968266211228032,0.5320022935822103,0.5968442596984748,0.05822795625427204,0.2744745022004739,0.18473038054199406,0.31431216920520294,0.420545179202423,0.08297690333618477
0.07942000000000002,0.47854830934508635,0.07562695924764891,0.1492393176217615,0.03744958709429614,0.47855909162279864,0.0617283950617284,0.06174814814814814,0.23749380881624566,0.057138408843219676,0.478541127210622,0.3214665651393941,0.47855909162279864,0.3582535885167464,0.19819653463822978,0.287605109159237,0.2778090012574751,0.4190560323069157,0.3126603934987168
0.010714285714285714,0.12912333861304318,0.0,0.20014176569650724,0.062415978490493566,0.5164990455097639,0.0,0.0,0.0,0.0,0.516500468293758,0.519913050372154,0.5164990455097639,0.46979665071770327,0.2835226048687409,0.010331830855530699,0.3608993979484152,0.5017541645633518,0.0
0.1883342857142857,0.6484746229598513,0.06210815047021944,0.29523419883352525,0.08450163241789897,0.6484941642494512,0.1234567901234568,0.12346666666666667,0.0,0.04469732353898631,0.6485042146438212,0.5113194919457283,0.6484941642494512,0.15951811346548186,0.28775428553842364,0.21345287032036941,0.46914334003178054,0.49221352852094896,0.0
0.08194285714285715,0.43888161972315953,0.28507053291536055,0.18775391758560653,0.026374751936495744,0.4388960969200129,0.14814814814814814,0.14814814814814814,0.10574541852402178,0.05317537825711577,0.4388738912456614,0.3517200944719875,0.4388960969200129,0.062200956937799035,0.31796079155510415,0.12268980262070334,0.33704780427056336,0.3185386168601716,0.0
