GenlTaxableAmount,BenEEContrib,401KWages,BaseForBSI,TGEESocSecTax,TaxBaseWage,TaxGrossWage,TBWithholdingTax,REWithholdingTax,EEGTLITaxable,TNTDWithholdingTax,AnnSal,BonusAccrual,ActBaseSal,9GLG,Year,TaxStatus,ExtraTaxAmt,NumExemptions,ExemptInd_R
0.16394978525238108,0.5797277094606939,0.36506246749799964,0.17693060611416128,0.16170698656902832,0.22738995574413381,0.10854165825100072,0.09792195804808661,0.12975335839217977,0.01926461494553584,0.11017461180593319,0.12066263736263737,0.025300366331763472,0.17710182930346186,0.0,0.0,0.2,0.005555555555555556,0.030303030303030304,0.0
0.16580872584022946,0.5543770536938828,0.36760190815510074,0.18090572747737382,0.16354049723943925,0.22824533171428527,0.10986366151455683,0.048485682319928516,0.06424687823192471,0.013318746135185272,0.0981662739411516,0.12271428571428572,0.02573032020918708,0.18011305549845877,0.2440511227540548,0.0,0.0,0.0,0.0,0.0
0.1267543442210264,0.5614146139377143,0.3316204595542088,0.13828077837973293,0.12502037137140945,0.21907319485213286,0.08397762106111606,0.032604882728342076,0.04320372180372498,0.010781842109435696,0.09695788774092201,0.09364505494505496,0.015708109151326345,0.13744685644475568,0.0,0.0,0.0,0.0,0.0,0.0
0.19408839909975478,0.4329141674965069,0.3899485941997334,0.20737843472490294,0.1914333104987854,0.23394179116177513,0.12829232594602263,0.22211916601271653,0.21519463893440482,0.03646799537015015,0.12656334964654706,0.1407681318681319,0.044273912970146274,0.20661138149824276,0.2799571063075874,0.0,0.2,0.0,0.07070707070707072,0.0
0.16426114187920002,0.6608642175442387,0.3653301550335213,0.17724771862684094,0.16201408390248123,0.22745819276091794,0.108734240001954,0.15736773499858767,0.20852311908030013,0.02021595395519193,0.12071022898918496,0.1208791208791209,0.025345711949703968,0.1774192486992579,0.0,0.0,0.0,0.25,0.0,0.0
0.1328211988574627,0.6318468256357606,0.3136834359849742,0.11606511325364012,0.13100423270858802,0.21429277574703304,0.08810027966627931,0.04088835604352423,0.05417989612888584,0.004328592493935213,0.09388405534408799,0.07915384615384616,0.01659677266389192,0.1161774343454754,0.0,0.0,0.2,0.0,0.0,0.0
0.3104579383733244,0.6412362433065982,0.48842430955386607,0.323069587247127,0.30621093887681244,0.25883648563386114,0.20097620159269805,0.19351101616432853,0.2564154632291448,0.34433715454502206,0.41985378526977224,0.22032637362637364,0.0923950145258051,0.32338223527512716,0.19474668826892483,0.0,0.2,0.39166666666666666,0.0,0.0
0.12175034788795833,0.5639517380329311,0.3271357139895791,0.1329679836246192,0.12008482865888151,0.2179299751733761,0.08075117216526707,0.07997777001387843,0.10597606974854473,0.004360303794257083,0.09597607395323547,0.09002197802197803,0.015100367271855552,0.13212892027469939,0.0,0.0,0.0,0.0,0.020202020202020204,0.0
0.17727443362283604,0.4879589531403986,0.37561327377612114,0.18942947978465738,0.17484935654384284,0.23007949279591855,0.11718810915721528,0.10558630881634748,0.13990915257665856,0.03264678368136485,0.1229230862183554,0.1291868131868132,0.04063133266070667,0.18961279865971595,0.2569250584251721,0.0,0.2,0.0,0.010101010101010102,0.0
0.0018953834657601473,0.7068901188537139,0.21570816574298143,0.0,0.0,0.18931761152466625,0.0012581224876301452,0.0006310196887095183,0.000836144675348919,0.0,0.09182224638994624,0.0,0.0,0.0,0.0,0.0,0.2,0.005555555555555556,0.020202020202020204,0.0
0.11201585371333467,0.5872696067457652,0.31730929629843635,0.12036044091014385,0.11048350032332463,0.21521705446096168,0.07418671787149254,0.06385042866226417,0.08460622845838771,0.011305078564746546,0.10259198839949249,0.08208351648351649,0.0,0.12047691877121533,0.0,0.0,0.0,0.0,0.0,0.0
0.16493834254253115,0.5163433505991575,0.38184517018235065,0.13315090340327468,0.1786810937271531,0.21796933628183818,0.10934345593118915,0.05030841867667503,0.0666621298104853,0.009434111845756234,0.09631593257205004,0.09014654945054947,0.0,0.13231201707251833,0.26693747195300344,0.0,0.2,0.0,0.04040404040404041,0.0
0.22387709055630584,0.3966662292314778,0.41975462193542656,0.2426877528440545,0.22081449890265048,0.24153973333306702,0.1473837534277203,0.1194397647711261,0.15826593864692842,0.08249694778734401,0.1704126638873784,0.16484835164835165,0.0864124344320337,0.24195486992966064,0.32785117753675974,0.0,0.2,0.0,0.06060606060606061,0.0
0.25524308637917364,0.48099086789714607,0.44812297173644006,0.27532713829547384,0.25175141447984867,0.2485631531093861,0.16720558242827738,0.14956803951830006,0.1981879838034234,0.14989931662147807,0.23462328560207846,0.18776703296703298,0.07874100656764917,0.27559358394755923,0.37343155367248104,0.0,0.2,0.0,0.0,0.0
0.1436613628716422,0.4880490133263343,0.34311959789414787,0.1509362746936867,0.1416961055521453,0.22179643433293905,0.09337631507501763,0.06865074868359894,0.09096698406970359,0.13391682125925572,0.21939761947918557,0.10293516483516485,0.021583131651324274,0.1510823420751409,0.0,0.0,0.2,0.027777777777777776,0.0,0.0
0.1642671567231272,0.4721160798602265,0.3634547100437996,0.17599280386629762,0.16202001646460476,0.22718815724937583,0.108866463813889,0.040910383424854944,0.05420908393069473,0.011558768967321505,0.09732795601474233,0.11936373626373627,0.025028016126450125,0.17519537744456484,0.23738977894595745,0.0,0.2,0.0,0.04040404040404041,0.0
0.10148173911074425,0.6349732006618136,0.3082017175746334,0.11053807419117939,0.10009349019958184,0.2131034544740099,0.06712953612223023,0.030189409564877943,0.040003053012852306,0.015681238009164565,0.09929158359011542,0.07472527472527474,0.012534468890832361,0.1096773044744909,0.0,0.0,0.0,0.0,0.04040404040404041,0.0
