MLService,Model,Version,GCC,LCC,Period,PayrollService,System,Client,ABKRS,PERNR,PersArea,EmpGroup,EmpSubgroup,ForPeriod,GenlTaxableAmount,BenEEContrib,401KWages,BaseForBSI,TGEESocSecTax,TaxBaseWage,TaxGrossWage,TBWithholdingTax,REWithholdingTax,EEGTLITaxable,TNTDWithholdingTax,AnnSal,BonusAccrual,ActBaseSal,9GLG,Year,TaxStatus,ExtraTaxAmt,NumExemptions,ExemptInd_R,FedTaxWithholding
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,110,2440,1,M0,201915,5771.0,-804.44,5613.92,5638.92,5771.0,5638.92,5638.92,9448.12,9448.12,132.08,264.16,134734.0,1122.78,5613.92,392.97,2019,2,0.0,5,0,393.5
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10004840,3272,1,78,201915,3530.89,-499.24,4339.21,3517.89,4377.21,3517.89,3517.89,7788.65,7788.65,13.0,26.0,83829.3,0.0,3492.89,444.77,2019,1,0.0,2,0,554.9
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63027492,8365,1,N0,201915,7877.06,-767.05,7515.11,7772.54,7877.06,7772.54,7772.54,6752.87,6752.87,104.52,104.52,185941.0,3099.02,7747.54,0.0,2019,2,0.0,6,0,801.34
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63029628,8455,1,L0,201915,3253.77,-202.51,3242.27,3242.27,3253.77,3242.27,3242.27,6150.84,6150.84,11.5,23.0,77814.0,0.0,3242.27,0.0,2019,1,0.0,2,0,392.2
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10005151,865,X,U0,201915,9289.12,0.0,0.0,0.0,0.0,5000.0,9289.12,9289.12,9289.12,0.0,0.0,0.0,0.0,0.0,0.0,2019,2,0.0,9,0,2600.0
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63019422,1036,1,N0,201915,5899.9,-756.26,5827.17,5852.17,5899.9,5852.17,5852.17,10191.82,10191.82,47.73,95.46,139852.0,1748.15,5827.17,524.45,2019,2,0.0,2,0,590.81
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020686,3068,1,NS,201915,5867.78,-572.0,5833.33,5858.33,5867.78,5858.33,5858.33,15905.99,10619.66,9.45,18.9,140000.0,2916.67,5833.33,525.0,2019,2,0.0,1,0,671.2
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63036190,3068,1,M0,201915,4702.37,-762.48,4641.46,4666.46,4702.37,4666.46,4666.46,8153.79,8153.79,35.91,71.82,111395.0,928.29,4641.46,0.0,2019,1,0.0,0,0,656.49
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63022504,8218,1,M0,201915,3407.61,-646.63,3400.42,3400.42,3407.61,3400.42,3400.42,5546.76,5546.76,7.19,14.38,81610.0,544.07,3400.42,306.04,2019,2,0.0,3,0,194.64
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63020710,1036,1,M0,201915,4220.31,-435.92,4187.96,4212.96,4220.31,4212.96,4212.96,7408.64,7408.64,7.35,14.7,100511.0,670.07,4187.96,376.92,2019,2,300.0,3,0,606.35
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10003221,1020,1,M0,201915,5422.5,-957.23,5360.13,5360.13,5422.5,5360.13,5360.13,4413.65,4413.65,62.37,62.37,128643.0,1072.03,5360.13,549.41,2019,1,50.0,0,0,828.55
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10100400,3068,1,N0,201915,7276.34,-1361.31,7189.42,7214.42,7276.34,7214.42,7214.42,11867.22,11867.22,61.92,123.84,172546.0,2875.77,7189.42,647.05,2019,1,14.0,1,0,1084.02
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10040329,3068,1,M0,201915,4187.22,-420.06,4080.71,4080.71,4187.22,4080.71,4156.9,7193.28,7193.28,30.32,60.64,97937.0,816.14,4080.71,163.23,2019,2,50.0,2,0,341.27
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63033878,3068,1,MS,201915,5980.99,-516.33,5838.75,5838.75,5980.99,5838.75,5838.75,10761.58,10761.58,142.24,284.48,140130.0,1751.63,5838.75,0.0,2019,1,0.0,0,0,998.84
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63018739,3428,1,M0,201915,5319.48,-708.05,5296.71,5296.71,5319.48,5296.71,5296.71,4628.41,4628.41,22.77,22.77,127121.0,1059.34,5296.71,476.7,2019,1,0.0,2,0,746.09
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63015960,3272,1,N0,201915,6505.53,-1996.21,6331.25,6331.25,6505.53,6331.25,6451.56,15544.32,10548.95,53.97,53.97,151950.0,1899.38,6331.25,569.81,2019,2,0.0,4,0,392.91
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10400661,8612,T,V1,201915,21228.66,-42.32,0.0,21196.41,21228.66,21196.41,14660.58,42381.12,42381.12,32.25,64.5,508713.88,0.0,0.0,0.0,2019,1,0.0,0,0,6325.63
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10400906,3151,1,N0,201915,5609.16,-809.63,5472.38,5497.38,5609.16,5497.38,5598.96,9578.66,9578.66,10.2,20.4,131337.0,1641.71,5472.38,492.51,2019,2,0.0,0,0,600.36
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63041912,3152,1,M0,201915,3150.56,-213.43,3148.13,3148.13,3150.56,3148.13,3148.13,2934.7,2934.7,2.43,2.43,75555.0,503.7,3148.13,0.0,2019,1,0.0,1,0,399.74
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,167,2440,1,N0,201915,6067.77,-960.31,5905.75,5930.75,6067.77,5930.75,6041.66,9941.86,9941.86,26.11,52.22,141738.0,1771.73,5905.75,605.34,2019,6,0.0,1,0,870.29
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,10303066,3068,1,M0,201915,4235.31,-355.21,4204.13,4204.13,4235.31,4204.13,4204.13,7060.6,7060.6,31.18,62.36,100899.0,840.83,4204.13,168.17,2019,2,0.0,1,0,312.19
TWV,SS01,11,SOL,SUS,201915,EUH,PP9,100,U3,63017619,1036,1,M0,201915,3354.74,-469.21,3326.71,3351.71,3354.74,3351.71,3351.71,2863.75,2863.75,3.03,3.03,79841.0,532.27,3326.71,299.4,2019,1,0.0,0,0,422.63
